card_desc,nf_shinv,nf_upeur,f_shinv,f_upeur
/en/Magic/Products/Singles/Guilds-of-Ravnica/Discovery-Dispersal,4183,0.02,87,0.89
/en/Magic/Products/Singles/Guilds-of-Ravnica/Crackling-Drake,3201,0.04,93,3.98
/en/Magic/Products/Singles/Guilds-of-Ravnica/Lava-Coil,2344,0.04,108,0.98
/en/Magic/Products/Singles/Guilds-of-Ravnica/Midnight-Reaper,1404,0.10,91,0.98
/en/Magic/Products/Singles/Guilds-of-Ravnica/Chromatic-Lantern,2774,0.99,225,3.49
/en/Magic/Products/Singles/Guilds-of-Ravnica/Unmoored-Ego,3383,0.02,211,0.95
/en/Magic/Products/Singles/Guilds-of-Ravnica/Circuitous-Route,6552,0.01,114,0.05
/en/Magic/Products/Singles/Guilds-of-Ravnica/Risk-Factor,2080,2.50,263,4.80
/en/Magic/Products/Singles/Guilds-of-Ravnica/Legion-Warboss,2781,0.69,204,2.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Thief-of-Sanity,1550,0.40,147,1.75
/en/Magic/Products/Singles/Guilds-of-Ravnica/Watery-Grave,2281,5.25,277,12.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Temple-Garden,3418,3.99,255,9.90
/en/Magic/Products/Singles/Guilds-of-Ravnica/Beast-Whisperer,1948,0.11,167,2.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Knight-of-Autumn,2746,1.50,217,7.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Plaguecrafter,5247,0.02,211,2.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Expansion-Explosion,2204,0.10,229,2.50
/en/Magic/Products/Singles/Guilds-of-Ravnica/Assassins-Trophy,2528,8.50,184,24.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Guild-Summit,7780,0.01,159,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Runaway-Steam-Kin,3124,0.70,303,2.69
/en/Magic/Products/Singles/Guilds-of-Ravnica/Overgrown-Tomb,3143,4.30,230,10.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Pelt-Collector,3180,0.90,296,3.15
/en/Magic/Products/Singles/Guilds-of-Ravnica/Arclight-Phoenix,724,19.00,76,35.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Steam-Vents,1797,6.90,229,15.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Experimental-Frenzy,2814,0.70,216,3.99
/en/Magic/Products/Singles/Guilds-of-Ravnica/Mission-Briefing,3760,0.79,193,5.40
/en/Magic/Products/Singles/Guilds-of-Ravnica/Dawn-of-Hope,2559,0.02,130,0.30
/en/Magic/Products/Singles/Guilds-of-Ravnica/Chemisters-Insight,5334,0.02,145,1.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Nullhide-Ferox,1645,0.21,165,3.99
/en/Magic/Products/Singles/Guilds-of-Ravnica/Sacred-Foundry,2969,4.90,276,10.99
/en/Magic/Products/Singles/Guilds-of-Ravnica/Conclave-Tribunal,6738,0.02,265,0.15
/en/Magic/Products/Singles/Guilds-of-Ravnica/Deafening-Clarion,2236,0.27,172,1.50
/en/Magic/Products/Singles/Guilds-of-Ravnica/Niv-Mizzet-Parun,1745,1.99,127,6.50
/en/Magic/Products/Singles/Guilds-of-Ravnica/Quasiduplicate,3714,0.01,185,0.15
/en/Magic/Products/Singles/Guilds-of-Ravnica/Drowned-Secrets,4208,0.02,185,0.15
/en/Magic/Products/Singles/Guilds-of-Ravnica/Electrostatic-Field,6912,0.02,133,0.10
/en/Magic/Products/Singles/Guilds-of-Ravnica/Creeping-Chill,6238,0.02,199,2.25
/en/Magic/Products/Singles/Guilds-of-Ravnica/Venerated-Loxodon,4133,0.10,272,0.25
/en/Magic/Products/Singles/Guilds-of-Ravnica/Divine-Visitation,1173,3.95,129,5.99
/en/Magic/Products/Singles/Guilds-of-Ravnica/Sinister-Sabotage,4895,0.02,210,0.75
/en/Magic/Products/Singles/Guilds-of-Ravnica/Thought-Erasure,6111,0.01,279,0.15
/en/Magic/Products/Singles/Guilds-of-Ravnica/Find-Finality,2654,0.10,181,0.41
/en/Magic/Products/Singles/Guilds-of-Ravnica/Tajic-Legions-Edge,4835,0.15,271,1.20
/en/Magic/Products/Singles/Guilds-of-Ravnica/Ritual-of-Soot,2680,0.24,235,1.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Emmara-Soul-of-the-Accord,4171,0.05,258,0.95
/en/Magic/Products/Singles/Guilds-of-Ravnica/March-of-the-Multitudes,2008,2.45,210,5.80
/en/Magic/Products/Singles/Guilds-of-Ravnica/Gruesome-Menagerie,4506,0.02,225,0.20
/en/Magic/Products/Singles/Guilds-of-Ravnica/Thousand-Year-Storm,1503,0.45,136,2.99
/en/Magic/Products/Singles/Guilds-of-Ravnica/Trostani-Discordant,1887,1.00,158,3.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Swiftblade-Vindicator,4694,0.02,287,0.30
/en/Magic/Products/Singles/Guilds-of-Ravnica/Disinformation-Campaign,6355,0.02,89,0.12
/en/Magic/Products/Singles/Guilds-of-Ravnica/Ionize,2855,0.45,234,1.90
/en/Magic/Products/Singles/Guilds-of-Ravnica/Murmuring-Mystic,6518,0.02,103,0.10
/en/Magic/Products/Singles/Guilds-of-Ravnica/Narcomoeba,4620,0.02,196,0.20
/en/Magic/Products/Singles/Guilds-of-Ravnica/Izoni-Thousand-Eyed,4057,0.04,292,0.70
/en/Magic/Products/Singles/Guilds-of-Ravnica/Kraul-Harpooner,6998,0.01,188,0.19
/en/Magic/Products/Singles/Guilds-of-Ravnica/Beacon-Bolt,7449,0.02,131,0.07
/en/Magic/Products/Singles/Guilds-of-Ravnica/Mausoleum-Secrets,4822,0.05,224,1.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Radical-Idea,13303,0.01,244,0.09
/en/Magic/Products/Singles/Guilds-of-Ravnica/Vraska-Golgari-Queen,2224,3.90,167,11.95
/en/Magic/Products/Singles/Guilds-of-Ravnica/Etrata-the-Silencer,4503,0.02,270,0.56
/en/Magic/Products/Singles/Guilds-of-Ravnica/Bounty-Agent,5599,0.02,226,0.10
/en/Magic/Products/Singles/Guilds-of-Ravnica/Hunted-Witness,13844,0.01,418,0.04
/en/Magic/Products/Singles/Guilds-of-Ravnica/Ral-Izzet-Viceroy,1895,4.00,136,11.50
/en/Magic/Products/Singles/Guilds-of-Ravnica/Nightveil-Sprite,6451,0.02,132,0.25
/en/Magic/Products/Singles/Guilds-of-Ravnica/Underrealm-Lich,2393,0.50,161,2.20
/en/Magic/Products/Singles/Guilds-of-Ravnica/Doom-Whisperer,1940,5.95,185,14.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Healers-Hawk,13504,0.01,272,0.05
/en/Magic/Products/Singles/Guilds-of-Ravnica/Aurelia-Exemplar-of-Justice,2358,3.00,170,7.99
/en/Magic/Products/Singles/Guilds-of-Ravnica/Dimir-Spybug,7345,0.01,226,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Goblin-Cratermaker,8011,0.01,212,1.99
/en/Magic/Products/Singles/Guilds-of-Ravnica/Lazav-the-Multifarious,2363,0.70,175,3.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Charnel-Troll,6479,0.02,282,0.20
/en/Magic/Products/Singles/Guilds-of-Ravnica/Guildmages-Forum,5116,0.02,272,0.18
/en/Magic/Products/Singles/Guilds-of-Ravnica/Dream-Eater,2307,0.85,178,3.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Connive-Concoct,5123,0.02,250,0.17
/en/Magic/Products/Singles/Guilds-of-Ravnica/Goblin-Electromancer,14957,0.01,225,0.10
/en/Magic/Products/Singles/Guilds-of-Ravnica/Golgari-Findbroker,8042,0.02,150,0.10
/en/Magic/Products/Singles/Guilds-of-Ravnica/District-Guide,8105,0.01,232,0.08
/en/Magic/Products/Singles/Guilds-of-Ravnica/Nightveil-Predator,8445,0.02,183,0.15
/en/Magic/Products/Singles/Guilds-of-Ravnica/Citywide-Bust,5121,0.02,230,0.15
