mkm_map,nf_shinv_20190224,nf_upeur_20190224,f_shinv_20190224,f_upeur_20190224
/en/Magic/Products/Singles/Ravnica-Allegiance/Skewer-the-Critics,9017,0.02,120,4.99
/en/Magic/Products/Singles/Ravnica-Allegiance/Pteramander,2239,0.65,101,10.99
/en/Magic/Products/Singles/Ravnica-Allegiance/Light-Up-the-Stage,3028,0.49,115,4.40
/en/Magic/Products/Singles/Ravnica-Allegiance/Persistent-Petitioners,9570,0.02,344,0.10
/en/Magic/Products/Singles/Ravnica-Allegiance/Growth-Spiral,10136,0.01,178,0.49
/en/Magic/Products/Singles/Guilds-of-Ravnica/Circuitous-Route,3926,0.02,71,2.00
/en/Magic/Products/Singles/Ravnica-Allegiance/Plaza-of-Harmony,1603,0.25,80,1.85
/en/Magic/Products/Singles/Ravnica-Allegiance/Wilderness-Reclamation,5108,0.09,46,7.95
/en/Magic/Products/Singles/Ravnica-Allegiance/Rhythm-of-the-Wild,5602,0.15,154,3.00
/en/Magic/Products/Singles/Ravnica-Allegiance/Deputy-of-Detention,1480,1.25,68,3.89
/en/Magic/Products/Singles/Ravnica-Allegiance/Gates-Ablaze,4592,0.02,56,0.38
/en/Magic/Products/Singles/Ravnica-Allegiance/Gatebreaker-Ram,4784,0.02,49,0.90
/en/Magic/Products/Singles/Ravnica-Allegiance/Breeding-Pool,1678,6.90,136,14.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Guild-Summit,5927,0.02,38,0.17
/en/Magic/Products/Singles/Ravnica-Allegiance/Smothering-Tithe,2728,0.40,111,2.90
/en/Magic/Products/Singles/Ravnica-Allegiance/Cindervines,2265,0.40,123,1.95
/en/Magic/Products/Singles/Ravnica-Allegiance/Godless-Shrine,2291,4.90,152,13.00
/en/Magic/Products/Singles/Ravnica-Allegiance/Gate-Colossus,5324,0.02,89,0.10
/en/Magic/Products/Singles/Ravnica-Allegiance/Hero-of-Precinct-One,2436,0.20,153,1.20
/en/Magic/Products/Singles/Ravnica-Allegiance/Blood-Crypt,2163,5.79,157,14.00
/en/Magic/Products/Singles/Ravnica-Allegiance/Hallowed-Fountain,2300,5.00,139,15.95
/en/Magic/Products/Singles/Ravnica-Allegiance/Kaya-s-Wrath,2475,0.85,183,2.95
/en/Magic/Products/Singles/Ravnica-Allegiance/Absorb,2635,0.50,186,2.30
/en/Magic/Products/Singles/Ravnica-Allegiance/Stomping-Ground,2500,4.99,140,13.49
/en/Magic/Products/Singles/Ravnica-Allegiance/Priest-of-Forgotten-Gods,2315,0.10,147,0.94
/en/Magic/Products/Singles/Ravnica-Allegiance/Mortify,5793,0.02,116,0.25
/en/Magic/Products/Singles/Ravnica-Allegiance/Tithe-Taker,2448,0.23,208,1.80
/en/Magic/Products/Singles/Guilds-of-Ravnica/Lava-Coil,1635,0.19,89,0.99
/en/Magic/Products/Singles/Ravnica-Allegiance/Incubation-Druid,2837,1.75,210,4.39
/en/Magic/Products/Singles/Ravnica-Allegiance/Hydroid-Krasis,924,19.00,83,27.80
/en/Magic/Products/Singles/Ravnica-Allegiance/Benthic-Biomancer,3281,0.03,99,0.90
/en/Magic/Products/Singles/Ravnica-Allegiance/Gutterbones,3060,0.24,206,0.75
/en/Magic/Products/Singles/Ravnica-Allegiance/Growth-Chamber-Guardian,3263,1.30,229,3.00
/en/Magic/Products/Singles/Ravnica-Allegiance/Archway-Angel,5636,0.02,60,0.25
/en/Magic/Products/Singles/Ravnica-Allegiance/Unbreakable-Formation,4064,0.10,142,0.50
/en/Magic/Products/Singles/Ravnica-Allegiance/Electrodominance,3949,1.25,222,6.99
/en/Magic/Products/Singles/Ixalan/Dive-Down,4061,0.02,64,0.10
/en/Magic/Products/Singles/Ravnica-Allegiance/Teysa-Karlov,3612,0.45,164,3.20
/en/Magic/Products/Singles/Ravnica-Allegiance/Frilled-Mystic,6751,0.02,102,0.99
/en/Magic/Products/Singles/Ravnica-Allegiance/Seraph-of-the-Scales,825,4.00,79,8.49
/en/Magic/Products/Singles/Ravnica-Allegiance/Judith-the-Scourge-Diva,3893,1.50,269,4.49
/en/Magic/Products/Singles/Ravnica-Allegiance/Gruul-Spellbreaker,3766,1.00,279,3.95
/en/Magic/Products/Singles/Ravnica-Allegiance/Essence-Capture,5688,0.02,176,0.25
/en/Magic/Products/Singles/Ravnica-Allegiance/Basilica-Bell-Haunt,5811,0.02,55,0.19
/en/Magic/Products/Singles/Guilds-of-Ravnica/Discovery-Dispersal,3676,0.02,70,0.80
/en/Magic/Products/Singles/Ravnica-Allegiance/Mass-Manipulation,3806,0.02,129,0.50
/en/Magic/Products/Singles/Ravnica-Allegiance/Bedevil,3906,1.40,232,4.50
/en/Magic/Products/Singles/Ravnica-Allegiance/Lavinia-Azorius-Renegade,3727,0.10,143,1.90
/en/Magic/Products/Singles/Amonkhet/Soul-Scar-Mage,2149,0.30,81,2.00
/en/Magic/Products/Singles/Ravnica-Allegiance/Precognitive-Perception,3794,0.08,182,0.25
/en/Magic/Products/Singles/Guilds-of-Ravnica/Thief-of-Sanity,965,0.70,94,1.99
/en/Magic/Products/Singles/Ravnica-Allegiance/Zegana-Utopian-Speaker,3486,0.02,174,0.65
/en/Magic/Products/Singles/Guilds-of-Ravnica/Crackling-Drake,3445,0.05,106,3.50
/en/Magic/Products/Singles/Ravnica-Allegiance/Biomancer-s-Familiar,4271,0.13,230,0.50
/en/Magic/Products/Singles/Ravnica-Allegiance/Rix-Maadi-Reveler,3964,0.19,226,1.20
/en/Magic/Products/Singles/Guilds-of-Ravnica/Expansion-Explosion,1649,0.20,194,2.22
/en/Magic/Products/Singles/Ravnica-Allegiance/Prime-Speaker-Vannifar,1279,6.50,69,19.50
/en/Magic/Products/Singles/Ravnica-Allegiance/Revival-Revenge,3750,0.03,181,0.50
/en/Magic/Products/Singles/Ravnica-Allegiance/Kaya-Orzhov-Usurper,1243,3.20,121,11.00
/en/Magic/Products/Singles/Guilds-of-Ravnica/Midnight-Reaper,1282,0.15,47,1.40
/en/Magic/Products/Singles/Ravnica-Allegiance/Ethereal-Absolution,4528,0.02,150,0.44
/en/Magic/Products/Singles/Ravnica-Allegiance/Theater-of-Horrors,4134,0.45,258,1.99
/en/Magic/Products/Singles/Ravnica-Allegiance/Sphinx-of-Foresight,4341,0.18,244,1.00
/en/Magic/Products/Singles/Ixalan/Chart-a-Course,949,0.99,172,2.75
/en/Magic/Products/Singles/Ravnica-Allegiance/Cry-of-the-Carnarium,6125,0.02,151,0.10
/en/Magic/Products/Singles/Ravnica-Allegiance/Guardian-Project,4635,0.02,121,0.10
/en/Magic/Products/Singles/Ravnica-Allegiance/Glass-of-the-Guildpact,4723,0.02,192,0.45
/en/Magic/Products/Singles/Ixalan/Spell-Pierce,10833,0.01,129,1.99
/en/Magic/Products/Singles/Ravnica-Allegiance/Pestilent-Spirit,4475,0.15,250,0.49
/en/Magic/Products/Singles/Ravnica-Allegiance/Incubation-Incongruity,6212,0.02,161,0.90
/en/Magic/Products/Singles/Ravnica-Allegiance/Simic-Ascendancy,4687,0.02,237,0.49
/en/Magic/Products/Singles/Ravnica-Allegiance/Rampage-of-the-Clans,4544,0.02,226,0.23
/en/Magic/Products/Singles/Ravnica-Allegiance/Repudiate-Replicate,4537,0.02,204,0.19
/en/Magic/Products/Singles/Dominaria/Opt,11296,0.02,351,0.60
/en/Magic/Products/Singles/Ravnica-Allegiance/End-Raze-Forerunners,4966,0.02,182,0.35
/en/Magic/Products/Singles/Ravnica-Allegiance/Warrant-Warden,4252,0.03,249,0.25
/en/Magic/Products/Singles/Commander-2015/Great-Oak-Guardian,760,0.02,0,N/A
/en/Magic/Products/Singles/Guilds-of-Ravnica/Beast-Whisperer,1702,0.10,112,2.00
/en/Magic/Products/Singles/Ravnica-Allegiance/High-Alert,6355,0.02,170,0.20
/en/Magic/Products/Singles/Guilds-of-Ravnica/Watery-Grave,1948,6.00,267,13.49
/en/Magic/Products/Singles/Ravnica-Allegiance/Thrash-Threat,3957,0.02,219,0.30
/en/Magic/Products/Singles/Dominaria/Merfolk-Trickster,2588,0.02,200,1.99
/en/Magic/Products/Singles/Dominaria/Wizard-s-Retort,3444,0.02,131,0.70
