,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019
ajani,1000,1025.2470249510588,1027.0301980888291,1026.8646711587394,1041.4196956052215,1058.775459733656,1079.070404320295,1080.6664102900436,1087.974819129673,1080.5608677505218,1048.9124267583695,1014.0776873805147,1016.496849183366,1016.496849183366
ally,1000,997.9048704335723,1006.7339267272464,1009.5434969530098,1028.3882264605245,1070.7972602103846,1089.9822528917082,1097.589359728968,1107.0274510224244,1118.566581880479,1101.5073872529601,1105.9395771459283,1116.1131946386656,1113.0842278404173
angel,1000,999.5773042352156,1000.65087185164,999.7574512479532,1014.7869459717853,1031.9668663700909,1039.6707317593846,1043.942841497322,1049.7683678773542,1050.4246585887531,1040.2560705859785,1039.0173589067708,1041.5241991448786,1040.9709206168511
ape,1000,999.635657801108,1004.1258796777803,1009.0684710432316,1027.4353537020286,1052.365664031036,1064.595117992685,1073.6313353947903,1084.1052136748624,1080.486992115255,1081.878731959856,1085.6201951089738,1087.6613057719262,1086.139833277615
arcane,1000,999.3209199250003,1010.5084957043739,1011.2630551431737,1025.0651737098167,1069.687122290241,1092.16889570825,1094.2164433389405,1111.1823604912643,1105.3650539554958,1101.5978338663324,1102.0344518800657,1105.3765241049446,1105.0104382059098
archer,1000,996.9026241361594,1004.0200213678804,1000.2007579596326,1019.4240161182976,1051.496920076751,1080.3961012084353,1086.7607604734853,1093.831226952513,1089.9674686705696,1092.694013568494,1094.6771598908754,1285.4106997754614,1282.786319596753
archon,1000,992.9029304029305,1016.9733044733044,1068.9802078910043,1110.7830804493599,1149.3798301409286,1206.325942938292,1188.9695407146367,1193.9943449915907,1189.7300794737635,1184.572181265081,1183.1957132485734,1226.192950816155,1216.9734549453567
arlinn,1000,995.3623188405796,989.3896958581387,987.1217538619023,1008.7417115833732,1053.6665473724688,1057.1690400507152,1065.301109589567,1068.74682746425,1071.0329169347617,1074.451107095192,1069.9151657459772,1059.0733587330847,1074.2029781435572
army,1000,1000.0,941.434221850256,898.2457938689822,904.7881426417678,983.6579866600624,1007.3272663216493,1009.1804055323172,1010.82247165826,1007.9172271741504,992.081582035339,986.9231994746242,981.5903884124997,978.6614246768937
artificer,1000,973.5449735449736,994.139194139194,986.2492005349147,1043.7804038994514,1059.808235399609,1054.236868878052,1037.638711166221,1045.1363767430387,1048.5250985112136,1014.6760303486168,1056.883384323861,1045.990486202948,1045.990486202948
assassin,1000,995.8205442246416,999.1967332936875,1004.1601888952526,1020.2786968193872,1047.5601245900837,1055.4266443429453,1051.223460643205,1063.6918786473525,1060.944781398745,1062.2373721011843,1053.387226078332,1058.7939927083771,1064.6115421188626
assembly-worker,1000,1007.8662583592303,1010.0644670171288,1007.2838298562764,1020.1534172359366,1026.7329655304013,1044.3121447169049,1047.5382106075006,1053.8890305737489,1053.9194004037438,1053.142640468198,1055.2872601348004,1050.218805275282,1050.218805275282
atog,1000,994.0863731606266,995.9881821521324,995.8007365557677,1008.1424022613164,1022.5337498459627,1024.1258040906926,1024.6892706504318,1045.3267806173212,1044.6592181018698,1036.815029768275,1042.8485524635964,1045.0833136714086,1040.1318331767163
aura,1000,998.1141076610403,998.7026463591479,1002.0154299871452,1016.8695522262108,1041.8742835930882,1056.744800888697,1063.757339048452,1076.008312041477,1090.0065093469327,1081.3953569769797,1084.1516867930495,1089.2608576099383,1089.4081314355444
aurochs,1000,993.0555555555555,991.0566514582216,991.0566514582216,1010.4891348201476,1084.872362799964,1078.845294117742,1089.4222087659552,1089.4222087659552,1061.922448986373,1100.7354039931847,1062.8211845223084,1102.8506425341373,1102.8506425341373
avatar,1000,996.9062942923856,994.306908509921,994.9786140996868,1000.3076880598488,1014.449117578277,1013.0770849453855,1005.9700686817359,1005.9524469354603,1006.8207030047456,1011.549960539522,1002.8523980587472,1009.124768300022,1009.7646442527545
barbarian,1000,1004.283410602701,1000.0807816117227,1002.1470642183583,1010.4427383641423,1042.09380004241,1079.497473734874,1058.3677737430003,1086.6190379728982,1076.9132011063161,1086.0740827252837,1085.4448434363956,1083.854137632166,1083.854137632166
basilisk,1000,1001.299337173764,1007.1151443481406,1008.3060595787304,1022.3927318932583,1031.0343995220055,1047.9023083337133,1053.7436427428397,1063.6142999902436,1062.576409426107,1068.974934555758,1061.6605510509892,1054.2495215469935,1054.2495215469935
bat,1000,1002.9053418786444,1007.5332991604887,1011.3126650740847,1033.3583588128793,1061.3170356635396,1077.0847988009725,1084.3141822770997,1096.5821564432629,1098.9867885171236,1097.599938832119,1099.2413943534345,1108.9206824358957,1108.9206824358957
bear,1000,994.8818858637364,997.5505083733414,1004.9768370412056,1355.0447512858545,1372.6588783044388,1421.3147358829658,1895.045352226608,1910.5000935459009,2042.5552674120565,2194.7048944186545,2230.849807091701,2233.667578450113,2233.667578450113
beast,1000,1000.2251406343036,1004.8956130657878,1015.4254174530107,1034.1050966990226,1067.133340413712,1090.912142826795,1092.8013583424872,1100.635076839046,1100.9283274376414,1095.0514988543448,1096.0141118499994,1100.3465903830877,1100.5424775111323
berserker,1000,993.75,1000.8135465724753,1010.8084437637744,1027.939018305693,1070.4324165999,1110.3113802036153,1130.9795933480382,1142.1628968958216,1141.2766366757755,1125.2078059326516,1119.6519537681522,1116.111738925045,1112.8482543083053
bird,1000,997.6353432822556,1005.373464980111,1008.6330384631374,1024.5269582547937,1058.0719590959225,1070.8030596633582,1084.5369788936036,1093.5084381901402,1086.9745570872442,1079.3247020043877,1076.9261921378045,1090.430994779644,1090.2801118413875
blinkmoth,1000,997.3441267859496,998.508077332597,993.0508445086883,1012.3370586485516,1020.41634231386,1031.3981503446362,1067.168774383926,1099.5575268269058,1193.0183242445923,1202.18905723976,1191.8017070363264,1202.7126839873747,1202.7126839873747
