,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28
ajani,0.93,0.8730769230769231,0.8761538461538462,0.8861538461538461,0.880769230769231,0.8907692307692308,0.8892307692307692,0.8869230769230769,1.824285714285714,1.5539999999999998,1.416,1.3020000000000005,1.2366666666666668,0.2,0.93,0.8730769230769231,0.8761538461538462,0.8861538461538461,0.880769230769231,0.8907692307692308,0.8892307692307692,0.8869230769230769,1.824285714285714,1.5539999999999998,1.416,1.3020000000000003,1.2366666666666668,0.2
ally,8.269599999999997,5.087435897435894,5.395384615384611,5.4437179487179455,5.3826923076923086,5.415128205128206,5.378076923076925,4.822820512820517,4.836282051282052,4.743205128205133,4.695641025641028,4.651025641025643,4.733974358974361,0.4082142857142857,8.269599999999997,5.087435897435893,5.395384615384611,5.4437179487179455,5.3826923076923086,5.415128205128206,5.378076923076926,4.822820512820516,4.836282051282052,4.743205128205133,4.695641025641028,4.651025641025643,4.733974358974361,0.4082142857142857
angel,1.5894811320754705,1.6018181818181805,1.595909090909091,1.58690909090909,1.5698214285714287,1.5298706896551726,1.5116379310344823,1.4865086206896558,1.5163404255319164,1.5082278481012656,1.4875527426160349,1.4784810126582288,1.4839662447257391,1.86125,1.5894811320754703,1.6018181818181803,1.595909090909091,1.58690909090909,1.5698214285714287,1.5298706896551726,1.5116379310344823,1.4865086206896558,1.5163404255319164,1.508227848101266,1.4875527426160349,1.4784810126582288,1.4839662447257391,1.86125
ape,1.2345045045045044,1.2019327731092435,1.2036134453781515,1.2164705882352942,1.2350420168067229,1.2262295081967216,1.2241803278688528,1.2252459016393444,1.2353278688524587,1.2303278688524597,1.2343442622950822,1.2376229508196723,1.2407377049180333,0.5075,1.2345045045045044,1.2019327731092437,1.2036134453781515,1.2164705882352942,1.2350420168067229,1.2262295081967216,1.2241803278688528,1.2252459016393444,1.2353278688524587,1.2303278688524595,1.2343442622950822,1.2376229508196723,1.2407377049180333,0.5075
arcane,0.9524999999999998,0.9483333333333328,0.984561403508772,0.94640350877193,0.9616666666666658,0.9517543859649124,0.959122807017544,0.9232456140350874,0.9278070175438596,0.9124561403508774,0.8976315789473684,0.8847368421052629,0.8768421052631579,0.985,0.9524999999999998,0.9483333333333329,0.9845614035087719,0.9464035087719299,0.961666666666666,0.9517543859649124,0.9591228070175439,0.9232456140350874,0.9278070175438597,0.9124561403508774,0.8976315789473684,0.8847368421052629,0.8768421052631579,0.9850000000000001
archer,0.3416216216216217,0.3305128205128205,0.3343589743589745,0.32897435897435906,0.33333333333333337,0.34128205128205136,0.3471794871794873,0.3482051282051283,0.35179487179487184,0.3460000000000001,0.34675,0.3462500000000001,0.3897500000000001,0.235,0.3416216216216217,0.33051282051282055,0.3343589743589745,0.32897435897435906,0.33333333333333337,0.34128205128205136,0.34717948717948727,0.3482051282051283,0.35179487179487184,0.3460000000000001,0.34675,0.34625000000000006,0.3897500000000001,0.235
archon,0.43,0.4171428571428572,0.4228571428571429,0.43857142857142856,0.4514285714285714,0.4642857142857144,0.4814285714285714,0.4771428571428572,0.4814285714285714,0.48,0.4785714285714286,0.4785714285714286,0.4942857142857142,0.36,0.43,0.41714285714285715,0.4228571428571429,0.43857142857142856,0.45142857142857146,0.46428571428571436,0.48142857142857143,0.4771428571428572,0.48142857142857143,0.48000000000000004,0.4785714285714286,0.4785714285714286,0.4942857142857142,0.36
arlinn,3.45,2.316666666666667,2.3666666666666667,2.353333333333333,2.48,2.4566666666666666,2.476666666666667,2.523333333333333,2.543333333333333,2.556666666666666,2.5766666666666667,2.5500000000000003,2.5666666666666664,0.15,3.45,2.316666666666667,2.3666666666666667,2.3533333333333335,2.48,2.4566666666666666,2.476666666666667,2.5233333333333334,2.5433333333333334,2.5566666666666666,2.5766666666666667,2.5500000000000003,2.5666666666666664,0.15
army,0.18,0.4762500000000001,0.4508333333333333,0.4075,0.39,0.3975000000000001,0.3925000000000001,0.3850000000000002,0.3733333333333335,0.3637500000000001,0.3420833333333335,0.33166666666666683,0.32208333333333344,0.3186363636363638,0.18,0.4762500000000001,0.45083333333333325,0.4075,0.38999999999999996,0.39750000000000013,0.39250000000000007,0.3850000000000002,0.37333333333333346,0.3637500000000001,0.3420833333333335,0.33166666666666683,0.32208333333333344,0.3186363636363638
artificer,0.17600000000000002,0.16999999999999998,0.174,0.172,10.136666666666667,8.493333333333334,7.661666666666667,6.953333333333334,6.825,6.666666666666668,6.326666666666667,6.831666666666668,6.5,,0.176,0.16999999999999998,0.174,0.172,10.136666666666667,8.493333333333334,7.661666666666668,6.953333333333334,6.825,6.666666666666667,6.326666666666667,6.831666666666667,6.5,
assassin,4.216874999999999,3.759444444444444,3.6216666666666657,3.599444444444445,3.4538888888888883,3.461111111111112,3.3877777777777767,3.3272222222222214,3.2922222222222213,3.2349999999999994,3.2244444444444436,3.2144444444444438,3.18611111111111,0.295,4.216874999999999,3.7594444444444437,3.6216666666666657,3.599444444444445,3.453888888888888,3.4611111111111117,3.387777777777777,3.327222222222222,3.2922222222222213,3.2349999999999994,3.224444444444444,3.214444444444444,3.18611111111111,0.295
assembly-worker,44.81625,45.58812500000001,44.94437500000002,44.75687500000001,45.30750000000001,44.65687500000001,45.23375,44.96062500000001,44.324375,44.21250000000001,44.610625,44.61187500000001,43.14187500000001,,44.81625,45.588125000000005,44.944375000000015,44.75687500000001,45.307500000000005,44.65687500000001,45.23375,44.96062500000001,44.324375,44.212500000000006,44.610625,44.611875000000005,43.141875000000006,
atog,0.5125,0.5936842105263157,0.5910526315789474,0.5942105263157894,0.5994736842105263,0.6031578947368421,0.5947368421052632,0.5873684210526315,0.6026315789473684,0.5989473684210526,0.5952631578947368,0.5994736842105264,0.6010526315789473,1.0033333333333332,0.5125,0.5936842105263157,0.5910526315789474,0.5942105263157894,0.5994736842105263,0.6031578947368421,0.5947368421052632,0.5873684210526315,0.6026315789473684,0.5989473684210526,0.5952631578947368,0.5994736842105264,0.6010526315789473,1.0033333333333332
aura,5.494274193548403,5.494466403162071,5.493083003952585,5.483754940711477,5.5983399209486295,5.478666666666677,5.555647058823541,5.570666666666678,5.581640625000008,5.664296875000009,5.576054687500008,5.5605859375000115,5.700390625000012,3.38,5.494274193548402,5.49446640316207,5.493083003952585,5.483754940711477,5.5983399209486295,5.478666666666677,5.555647058823542,5.570666666666679,5.581640625000008,5.664296875000007,5.576054687500009,5.560585937500011,5.700390625000011,3.38
