benchmark,generation
RebeccaGuay,"SELECT uuid FROM cards WHERE artist = ""Rebecca Guay"""
StephenDaniele,"SELECT uuid FROM cards WHERE artist = ""Stephen Daniele"""
JohnAvon,"SELECT uuid FROM cards WHERE artist = ""John Avon"""
RogerRaupp,"SELECT uuid FROM cards WHERE artist = ""Roger Raupp"""
ChristopherMoeller,"SELECT uuid FROM cards WHERE artist = ""Christopher Moeller"""
AdamRex,"SELECT uuid FROM cards WHERE artist = ""Adam Rex"""
KevWalker,"SELECT uuid FROM cards WHERE artist = ""Kev Walker"""
JimMurray,"SELECT uuid FROM cards WHERE artist = ""Jim Murray"""
GregStaples,"SELECT uuid FROM cards WHERE artist = ""Greg Staples"""
PeteVenters,"SELECT uuid FROM cards WHERE artist = ""Pete Venters"""
VolkanBaa,"SELECT uuid FROM cards WHERE artist = ""Volkan Baǵa"""
AlanPollack,"SELECT uuid FROM cards WHERE artist = ""Alan Pollack"""
MarkZug,"SELECT uuid FROM cards WHERE artist = ""Mark Zug"""
DanDosSantos,"SELECT uuid FROM cards WHERE artist = ""Dan Dos Santos"""
JustinSweet,"SELECT uuid FROM cards WHERE artist = ""Justin Sweet"""
RayLago,"SELECT uuid FROM cards WHERE artist = ""Ray Lago"""
DAlexanderGregory,"SELECT uuid FROM cards WHERE artist = ""D. Alexander Gregory"""
rkpost,"SELECT uuid FROM cards WHERE artist = ""rk post"""
GregHildebrandt,"SELECT uuid FROM cards WHERE artist = ""Greg Hildebrandt"""
MatthewDWilson,"SELECT uuid FROM cards WHERE artist = ""Matthew D. Wilson"""
DarrellRiche,"SELECT uuid FROM cards WHERE artist = ""Darrell Riche"""
RobAlexander,"SELECT uuid FROM cards WHERE artist = ""Rob Alexander"""
ZoltanBorosGaborSzikszai,"SELECT uuid FROM cards WHERE artist = ""Zoltan Boros & Gabor Szikszai"""
MarceloVignali,"SELECT uuid FROM cards WHERE artist = ""Marcelo Vignali"""
PaoloParente,"SELECT uuid FROM cards WHERE artist = ""Paolo Parente"""
AlexHorleyOrlandelli,"SELECT uuid FROM cards WHERE artist = ""Alex Horley-Orlandelli"""
Daarken,"SELECT uuid FROM cards WHERE artist = ""Daarken"""
TereseNielsen,"SELECT uuid FROM cards WHERE artist = ""Terese Nielsen"""
ArnieSwekel,"SELECT uuid FROM cards WHERE artist = ""Arnie Swekel"""
