mtgjson_set_code,mtgjson_name,mtgjson_link,mkm_set_name,mkm_web_name
AER,Aether Revolt,https://mtgjson.com/v4/json/AER.json,Aether Revolt,Aether+Revolt
ARB,Alara Reborn,https://mtgjson.com/v4/json/ARB.json,Alara Reborn,Alara+Reborn
ALL,Alliances,https://mtgjson.com/v4/json/ALL.json,Alliances,Alliances
LEA,Limited Edition Alpha,https://mtgjson.com/v4/json/LEA.json,Alpha,Alpha
AKH,Amonkhet,https://mtgjson.com/v4/json/AKH.json,Amonkhet,Amonkhet
ATH,Anthologies,https://mtgjson.com/v4/json/ATH.json,Anthologies,Anthologies
ATQ,Antiquities,https://mtgjson.com/v4/json/ATQ.json,Antiquities,Antiquities
APC,Apocalypse,https://mtgjson.com/v4/json/APC.json,Apocalypse,Apocalypse
ARN,Arabian Nights,https://mtgjson.com/v4/json/ARN.json,Arabian Nights,Arabian+Nights
ARC,Archenemy,https://mtgjson.com/v4/json/ARC.json,Archenemy,Archenemy
E01,Archenemy: Nicol Bolas,https://mtgjson.com/v4/json/E01.json,Archenemy: Nicol Bolas,Archenemy%3A+Nicol+Bolas
AVR,Avacyn Restored,https://mtgjson.com/v4/json/AVR.json,Avacyn Restored,Avacyn+Restored
BFZ,Battle for Zendikar,https://mtgjson.com/v4/json/BFZ.json,Battle for Zendikar,Battle+for+Zendikar
BRB,Battle Royale Box Set,https://mtgjson.com/v4/json/BRB.json,Battle Royale,Battle+Royale
BBD,Battlebond,https://mtgjson.com/v4/json/BBD.json,Battlebond,Battlebond
BTD,Beatdown Box Set,https://mtgjson.com/v4/json/BTD.json,Beatdown,Beatdown
LEB,Limited Edition Beta,https://mtgjson.com/v4/json/LEB.json,Beta,Beta
BOK,Betrayers of Kamigawa,https://mtgjson.com/v4/json/BOK.json,Betrayers of Kamigawa,Betrayers+of+Kamigawa
BNG,Born of the Gods,https://mtgjson.com/v4/json/BNG.json,Born of the Gods,Born+of+the+Gods
CHK,Champions of Kamigawa,https://mtgjson.com/v4/json/CHK.json,Champions of Kamigawa,Champions+of+Kamigawa
CHR,Chronicles,https://mtgjson.com/v4/json/CHR.json,Chronicles,Chronicles
CSP,Coldsnap,https://mtgjson.com/v4/json/CSP.json,Coldsnap,Coldsnap
CST,Coldsnap Theme Decks,https://mtgjson.com/v4/json/CST.json,Coldsnap Theme Decks,Coldsnap+Theme+Decks
CED,Collectors Edition,https://mtgjson.com/v4/json/CED.json,Collectors' Edition,Collectors%27s+Edition
CMD,Commander 2011,https://mtgjson.com/v4/json/CMD.json,Commander,Commander
C13,Commander 2013,https://mtgjson.com/v4/json/C13.json,Commander 2013,Commander+2013
C14,Commander 2014,https://mtgjson.com/v4/json/C14.json,Commander 2014,Commander+2014
C15,Commander 2015,https://mtgjson.com/v4/json/C15.json,Commander 2015,Commander+2015
C16,Commander 2016,https://mtgjson.com/v4/json/C16.json,Commander 2016,Commander+2016
C17,Commander 2017,https://mtgjson.com/v4/json/C17.json,Commander 2017,Commander+2017
C18,Commander 2018,https://mtgjson.com/v4/json/C18.json,Commander 2018,Commander+2018
CMA,Commander Anthology,https://mtgjson.com/v4/json/CMA.json,Commander Anthology,Commander+Anthology
CM2,Commander Anthology Volume II,https://mtgjson.com/v4/json/CM2.json,Commander Anthology II,Commander+Anthology+II
CM1,Commander's Arsenal,https://mtgjson.com/v4/json/CM1.json,Commander's Arsenal,Commander%27ss+Arsenal
CON_,Conflux,https://mtgjson.com/v4/json/CON_.json,Conflux,Conflux
CNS,Conspiracy,https://mtgjson.com/v4/json/CNS.json,Conspiracy,Conspiracy
CN2,Conspiracy: Take the Crown,https://mtgjson.com/v4/json/CN2.json,Conspiracy: Take the Crown,Conspiracy%3A+Take+the+Crown
M19,Core Set 2019,https://mtgjson.com/v4/json/M19.json,Core 2019,Core+2019
DKA,Dark Ascension,https://mtgjson.com/v4/json/DKA.json,Dark Ascension,Dark+Ascension
DST,Darksteel,https://mtgjson.com/v4/json/DST.json,Darksteel,Darksteel
DKM,Deckmasters,https://mtgjson.com/v4/json/DKM.json,Deckmasters,Deckmasters
DIS,Dissension,https://mtgjson.com/v4/json/DIS.json,Dissension,Dissension
DOM,Dominaria,https://mtgjson.com/v4/json/DOM.json,Dominaria,Dominaria
DGM,Dragon's Maze,https://mtgjson.com/v4/json/DGM.json,Dragon's Maze,Dragon%27ss+Maze
DTK,Dragons of Tarkir,https://mtgjson.com/v4/json/DTK.json,Dragons of Tarkir,Dragons+of+Tarkir
DDH,Duel Decks: Ajani vs. Nicol Bolas,https://mtgjson.com/v4/json/DDH.json,Duel Decks: Ajani vs. Nicol Bolas,Duel+Decks%3A+Ajani+vs.+Nicol+Bolas
